CIE10;DIAGNOSTICO DESCRIPCION;TIPO
Q24.0;DEXTROCARDIA;CRONICO
R00.0;TAQUICARDIA, NO ESPECIFICADA;CURA
R00.1;BRADICARDIA, NO ESPECIFICADA;CURA
R01.1;SOPLO CARDIACO, NO ESPECIFICADO;CURA
H28.1;CATARATA EN OTRAS ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS;CURA
H25;CATARATA SENIL;CURA
H18.3;CAMBIOS EN LAS MEMBRANAS DE LA CORNEA;CRONICO
Q12.0;CATARATA CONGENITA;CRONICO
H17.9;CICATRIZ U OPACIDAD DE LA CORNEA, NO ESPECIFICADA;CRONICO
H31.1;DEGENERACION COROIDEA;CRONICO
H18.4;DEGENERACION DE LA CORNEA;CRONICO
H18.5;DISTROFIA HEREDITARIA DE LA CORNEA;CRONICO
Q12.4;ESFEROFAQUIA;CRONICO
Q12.1;LUXACION CONGENITA DEL CRISTALINO;CRONICO
Q14.3;MALFORMACION CONGENITA DE LA COROIDES;CRONICO
Q12.9;MALFORMACION CONGENITA DEL CRISTALINO, NO ESPECIFICADAS;CRONICO
Q13.9;MALFORMACION CONGENITA DEL SEGMENTO ANTERIOR DEL OJO, NO ESPECIFICADA;CRONICO
Q11.2;MICROFTALMIA;CRONICO
G72.1;MIOPATIA ALCOHOLICA;CRONICO
H44.2;MIOPIA DEGENERATIVA;OPTICA
H16.4;NEOVASCULARIZACION DE LA CORNEA;CRONICO
Q13.3;OPACIDAD CORNEAL CONGENITA;CRONICO
Q11.1;OTRAS ANOFTALMIAS;CRONICO
Q13.4;OTRAS MALFORMACIONES CONGENITAS DE LA CORNEA;CRONICO
Q12.8;OTRAS MALFORMACIONES CONGENITAS DEL CRISTALINO;CRONICO
Q15.8;OTRAS MALFORMACIONES CONGENITAS DEL OJO, ESPECIFICADAS;CRONICO
Q13.8;OTRAS MALFORMACIONES CONGENITAS DEL SEGMENTO ANTERIOR DEL OJO;CRONICO
H17.1;OTRAS OPACIDADES CENTRALES DE LA CORNEA;CRONICO
H17.8;OTRAS OPACIDADES O CICATRICES DE LA CORNEA;CRONICO
H18.2;OTROS EDEMAS DE LA CORNEA;CRONICO
H19.8;OTROS TRASTORNOS DE LA ESCLEROTICA Y DE LA CORNEA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;CRONICO
H13.3;PENFIGOIDE OCULAR (L12.-);CRONICO
H16.3;QUERATITIS INTERSTICIAL Y PROFUNDA;CRONICO
H19.1;QUERATITIS Y QUERATOCONJUNTIVITIS POR HERPES SIMPLE (B00.5+) (*);CRONICO
H18.6;QUERATOCONO;CRONICO
H18.1;QUERATOPATIA VESICULAR;CRONICO
Q87.4;SINDROME DE MARFAN;CRONICO
M35.0;SINDROME SECO [SJÖGREN];CRONICO
Z94.7;TRASPLANTE DE CORNEA;CRONICO
C69.1;TUMOR MALIGNO DE LA CORNEA;CRONICO
D31.1;TUMOR BENIGNO DE LA CORNEA;CUIDA
H11.2;CICATRICES CONJUNTIVALES;CUIDA
H11.3;HEMORRAGIA CONJUNTIVAL;CUIDA
H11.4;OTROS TRASTORNOS VASCULARES Y QUISTES CONJUNTIVALES;CUIDA
H11.8;OTROS TRASTORNOS ESPECIFICADOS DE LA CONJUNTIVA;CUIDA
H11.9;TRASTORNO DE LA CONJUNTIVA, NO ESPECIFICADO;CUIDA
H13.8;OTROS TRASTORNOS DE LA CONJUNTIVA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;CUIDA
H15.8;OTROS TRASTORNOS DE LA ESCLEROTICA;CUIDA
H15.9;TRASTORNO DE LA ESCLEROTICA, NO ESPECIFICADO;CUIDA
H18.0;PIGMENTACIONES Y DEPOSITOS EN LA CORNEA;CUIDA
H18.7;OTRAS DEFORMIDADES DE LA CORNEA;CUIDA
H18.8;OTROS TRASTORNOS ESPECIFICADOS DE LA CORNEA;CUIDA
H18.9;TRASTORNO DE LA CORNEA, NO ESPECIFICADO;CUIDA
H52.0;HIPERMETROPIA;OPTICA
H52.1;MIOPIA;CUIDA
H52.2;ASTIGMATISMO;OPTICA
H52.6;OTROS TRASTORNOS DE LA REFRACCION;CUIDA
H52.7;TRASTORNO DE LA REFRACCION, NO ESPECIFICADO;CUIDA
H52.70;AMETROPIA;CUIDA
H53.1;ALTERACIONES VISUALES SUBJETIVAS;CUIDA
H53.8;OTRAS ALTERACIONES VISUALES;CUIDA
H53.9;ALTERACION VISUAL, NO ESPECIFICADA;CUIDA
H59.0;TRASTORNOS DEL OJO DESPUES DE CIRUGIA DE CATARATAS;CUIDA
Z52.5;DONANTE DE CORNEA;CUIDA
E50.2;DEFICIENCIA DE VITAMINA A CON XEROSIS CORNEAL;CURA
E50.3;DEFICIENCIA DE VITAMINA A CON ULCERA Y XEROSIS DE CORNEA;CURA
E50.6;DEFICIENCIA DE VITAMINA A CON CICATRICES XEROFTALMICAS DE LA CORNEA;CURA
H16.0;ULCERA DE LA CORNEA;CURA
H25.0;CATARATA SENIL INCIPIENTE;CURA
H25.1;CATARATA SENIL NUCLEAR;CURA
H25.2;CATARATA SENIL, TIPO MORGAGNIAN;CURA
H25.8;OTRAS CATARATAS SENILES;CURA
H25.9;CATARATA SENIL, NO ESPECIFICADA;CURA
H26.0;CATARATA INFANTIL, JUVENIL Y PRESENIL;CURA
H26.1;CATARATA TRAUMATICA;CURA
H26.2;CATARATA COMPLICADA;CURA
H26.22;CATARATA POR UVEITIS;CURA
H26.3;CATARATA INDUCIDA POR DROGAS;CURA
H26.4;CATARATA SECUNDARIA;CURA
H26.8;OTRAS FORMAS ESPECIFICADAS DE CATARATA;CURA
H26.9;CATARATA, NO ESPECIFICADA;CURA
H28.0;CATARATA DIABETICA (E10-E14+ CON CUARTO CARACTER COMUN .3) (*);CURA
H28.1;CATARATA EN OTRAS ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS CLASIFICADAS EN OTRA PARTE (*);CURA
H28.2;CATARATA EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE;CURA
S05.0;TRAUMATISMO DE LA CONJUNTIVA Y ABRASION CORNEAL SIN MENCION DE CUERPO EXTRAÑO;CURA
T15.0;CUERPO EXTRAÑO EN LA CORNEA;CURA
T26.1;QUEMADURA DE LA CORNEA Y SACO CONJUNTIVAL;CURA
T26.6;CORROSION DE LA CORNEA Y SACO CONJUNTIVAL;CURA
H27.80;CATARATA PSEUDOEXFOLIATIVO DEL CRISTALINO;CURA
H25.20;CATARATA SENIL HIPERMADURA;CURA
H26.41;OPACIDAD DE CAPSULA POSTERIOR EN AFAQUIA O PSEUDOFAQUIA(CATARATA);CURA
H16.01;ULCERA CORNEAL MARGINAL;CURA
H19.0;ESCLERITIS Y EPISCLERITIS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE (;CURA
S05.0;TRAUMATISMO DE LA CONJUNTIVA Y ABRASION CORNEAL SIN MENCION DE CUERPO ;CURA
H19.2;QUERATITIS Y QUERATOCONJUNTIVITIS EN ENFERMEDADES INFECCIOSAS Y PARASI;CURA
Q13.1;AUSENCIA DEL IRIS;CRONICO
H17.0;LEUCOMA ADHERENTE;CRONICO
H16.1;OTRAS QUERATITIS SUPERFICIALES SIN CONJUNTIVITIS;CURA
H16.2;QUERATOCONJUNTIVITIS;CURA
H16.8;OTRAS QUERATITIS;CURA
H16.9;QUERATITIS, NO ESPECIFICADA;CURA
H19.2;QUERATITIS Y QUERATOCONJUNTIVITIS EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS, CLASIFICADAS EN OTRA PARTE;CURA
H19.3;QUERATITIS Y QUERATOCONJUNTIVITIS EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE (*);CURA
H16.80;ESCLEROQUERATITIS;CURA
H16;QUERATITIS;CURA
H27.0;AFAQUIA;CURA
H27.1;LUXACION DEL CRISTALINO;CURA
H27.2;SUBLUXACION DEL CRISTALINO;CURA
H27.3;LUXACION DE LENTE INTRA OCULAR;CURA
H27.4;SUBLUXACION DE LENTE INTRAOCULAR;CURA
H27.8;OTROS TRASTORNOS ESPECIFICADOS DEL CRISTALINO;CURA
H27.9;TRASTORNO DEL CRISTALINO, NO ESPECIFICADO;CURA
H28.8;OTROS TRASTORNOS DEL CRISTALINO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;CURA
H21.0;HIFEMA;CURA
H21.1;OTROS TRASTORNOS VASCULARES DEL IRIS Y DEL CUERPO CILIAR;CURA
E02;HIPOTIROIDISMO SUBCLINICO POR DEFICIENCIA DE YODO;CUIDA
T78.4;ALERGIA NO ESPECIFICADA;CRONICO
E85.4;AMILOIDOSIS LIMITADA A UN ORGANO;CRONICO
D57.0;ANEMIA FALCIFORME CON CRISIS;CRONICO
I20.1;ANGINA DE PECHO CON ESPASMO DOCUMENTADO;CRONICO
I20.9;ANGINA DE PECHO, NO ESPECIFICADA;CRONICO
I20.0;ANGINA INESTABLE;CRONICO
H57.0;ANOMALIAS DE LA FUNCION PUPILAR;CRONICO
I49.9;ARRITMIA CARDIACA, NO ESPECIFICADA;CRONICO
H54.7;DISMINUCION DE LA AGUDEZA VISUAL, SIN ESPECIFICACION;CRONICO
H54.6;DISMINUCION INDETERMINADA DE LA AGUDEZA VISUAL DE UN OJO;CRONICO
H54.3;DISMINUCION INDETERMINADA DE LA AGUDEZA VISUAL EN AMBOS OJOS;CRONICO
Q86.2;DISMORFISMO DEBIDO A WARFARINA;CRONICO
Q75.1;DISOSTOSIS CRANEOFACIAL;CRONICO
Q75.5;DISOSTOSIS OCULOMAXILAR;CRONICO
Q77.6;DISPLASIA CONDROECTODERMICA;CRONICO
Q78.3;DISPLASIA DIAFISARIA PROGRESIVA;CRONICO
Q77.5;DISPLASIA DISTROFICA;CRONICO
Q82.4;DISPLASIA ECTODERMICA (ANHIDROTICA);CRONICO
Q77.7;DISPLASIA ESPONDILOEPIFISARIA;CRONICO
Q78.5;DISPLASIA METAFISARIA;CRONICO
Q78.1;DISPLASIA POLIOSTOTICA FIBROSA;CRONICO
Q67.2;DOLICOCEFALIA;CRONICO
Q92.5;DUPLICACIONES CON OTROS REORDENAMIENTOS COMPLEJOS;CRONICO
Q92.4;DUPLICACIONES VISIBLES SOLO EN LA PROMETAFASE;CRONICO
Q78.4;ENCONDROMATOSIS;CRONICO
H45.1;ENDOFTALMITIS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;CRONICO
H44.0;ENDOFTALMITIS PURULENTA;CRONICO
I11.0;ENFERMEDAD CARDIACA HIPERTENSIVA CON INSUFICIENCIA CARDIACA CONGESTIVA (ICC);CRONICO
I11.9;ENFERMEDAD CARDIACA HIPERTENSIVA SIN INSUFICIENCIA CARDIACA CONGESTIVA (ICC);CRONICO
I51.6;ENFERMEDAD CARDIOVASCULAR NO ESPECIFICADA;CRONICO
B20.2;ENFERMEDAD POR VIH, RESULTANTE EN ENFERMEDAD POR CITOMEGALOVIRUS;CRONICO
B20.8;ENFERMEDAD POR VIH, RESULTANTE EN OTRAS ENFERMEDADES INFECCIOSAS O PARASITARIAS;CRONICO
I12.0;ENFERMEDAD RENAL HIPERTENSIVA CON INSUFICIENCIA RENAL;CRONICO
I12.9;ENFERMEDAD RENAL HIPERTENSIVA SIN INSUFICIENCIA RENAL;CRONICO
Q81.2;EPIDERMOLISIS BULLOSA DISTROFICA;CRONICO
Q81.1;EPIDERMOLISIS BULLOSA LETAL;CRONICO
Q81.0;EPIDERMOLISIS BULLOSA SIMPLE;CRONICO
Q81.9;EPIDERMOLISIS BULLOSAS, NO ESPECIFICADAS;CRONICO
L51.1;ERITEMA MULTIFORME FLICTENULAR;CRONICO
Q80.3;ERITRODERMIA ICTIOSIFORME VESICULAR CONGENITA;CRONICO
H19.0;ESCLERITIS Y EPISCLERITIS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE (*);CRONICO
M34.0;ESCLEROSIS SISTEMICA PROGRESIVA;CRONICO
M45.X;ESPONDILITIS ANQUILOSANTE;CRONICO
M45.2;ESPONDILITIS ANQUILOSANTE REGION CERVICAL;CRONICO
M45.1;ESPONDILITIS ANQUILOSANTE REGION OCCIPITOCERVICAL;CRONICO
I35.0;ESTENOSIS DE LA VALVULA AORTICA;CRONICO
I34.2;ESTENOSIS DE LA VALVULAMITRAL, NO REUMATICA;CRONICO
H06.2;EXOFTALMIA HIPERTIROIDEA (E05.-);CRONICO
Q78.6;EXOSTOSIS CONGENITA MULTIPLE;CRONICO
Q67.1;FACIES COMPRIMIDA;CRONICO
Q85.9;FACOMATOSIS, NO ESPECIFICADAS;CRONICO
I49.0;FIBRILACION Y ALETEO VENTRICULAR;CRONICO
I80.0;FLEBITIS Y TROMBOFLEBITIS DE VASOS SUPERFICIALES DE LOS MIEMBROS INFERIORES;CRONICO
Q75.2;HIPERTELORISMO;CRONICO
I15.1;HIPERTENSION SECUNDARIA A OTROS TRASTORNOS RENALES;CRONICO
I15.2;HIPERTENSION SECUNDARIA A TRASTORNOS ENDOCRINOS;CRONICO
H91.9;HIPOACUSIA, NO ESPECIFICADA;CRONICO
I95.1;HIPOTENSION ORTOSTATICA;CRONICO
H44.4;HIPOTONIA OCULAR;CRONICO
Q80.9;ICTIOSIS CONGENITA, NO ESPECIFICADA;CRONICO
Q80.2;ICTIOSIS LAMELAR;CRONICO
Q80.1;ICTIOSIS LIGADA AL CROMOSOMA X;CRONICO
Q80.0;ICTIOSIS VULGAR;CRONICO
Q82.3;INCONTINENCIA PIGMENTARIA;CRONICO
Q95.4;INDIVIDUOS CON HETEROCROMATINA MARCADORA;CRONICO
Q95.5;INDIVIDUOS CON SITIO FRAGIL AUTOSOMICO;CRONICO
I21.1;INFARTO TRANSMURAL AGUDO DE MIOCARDIODE LA PARED INFERIOR;CRONICO
I21.0;INFARTO TRANSMURAL AGUDO DEL MIOCARDIODE LA PARED ANTERIOR;CRONICO
H05.0;INFLAMACION AGUDA DE LA ORBITA;CRONICO
I50.0;INSUFICIENCIA CARDIACA CONGESTIVA;CRONICO
I35.1;INSUFICIENCIA DE LA VALVULA AORTICA;CRONICO
I34.0;INSUFICIENCIA DE LA VALVULA MITRAL;CRONICO
I50.1;INSUFICIENCIA VENTRICULAR IZQUIERDA;CRONICO
Q95.1;INVERSION CROMOSOMICA EN INDIVIDUO NORMAL;CRONICO
C91.0;LEUCEMIA LINFOBLASTICA AGUDA;CRONICO
Q82.0;LINFEDEMA HEREDITARIO;CRONICO
C83.0;LINFOMA NO HODKIN DE CELULAS PEQUEÑAS (DIFUSO);CRONICO
L93.0;LUPUS ERITEMATOSO DISCOIDE;CRONICO
M32.0;LUPUS ERITEMATOSO SISTEMICO, INDUCIDO POR DROGAS;CRONICO
Q75.3;MACROCEFALIA;CRONICO
Q11.3;MACROFTALMIA;CRONICO
Q82.9;MALFORMACION CONGENITA DE LA PIEL, NO ESPECIFICADA;CRONICO
Q07.9;MALFORMACION CONGENITA DE SISTEMA NERVIOSO, NO ESPECIFICADA;CRONICO
Q89.9;MALFORMACION CONGENITA, NO ESPECIFICADAS;CRONICO
Q89.7;MALFORMACIONES CONGENITAS MULTIPLES, NO CLASIFICADAS EN OTRA PARTE;CRONICO
Q15.9;MALFORMACIONES CONGENITASDEL OJO, NO ESPECIFICADAS;CRONICO
Q82.2;MASTOCITOSIS;CRONICO
C43.3;MELANOMA MALIGNO DE OTRAS PARTES Y LAS NO ESPECIFICADAS DE LA CARA;CRONICO
I09.0;MIOCARDITIS REUMATICA;CRONICO
Q93.1;MONOSOMIA COMPLETA DE UN CROMOSOMA, MOSAICO (POR FALTA DE DISYUNCION MITOTICA);CRONICO
Q93.0;MONOSOMIA COMPLETA DE UN CROMOSOMA, POR FALTA DE DISYUNCION MEIOTICA;CRONICO
Q82.5;NEVO NO NEOPLASICO, CONGENITO;CRONICO
H54.8;OJO UNICO;CRONICO
Q77.9;OSTEOCONDRODISPLASIA CON DEFECTO DE CRECIMIENTO HUESOS LARGOS Y DE LA COLUMNA VERTEBRAL, SIN OTRA ESPECIFICACION;CRONICO
Q78.9;OSTEOCONDRODISPLASIA, NO ESPECIFICADA;CRONICO
Q78.0;OSTEOGENESIS IMPERFECTA;CRONICO
Q78.2;OSTEOPETROSIS;CRONICO
M05.8;OTRAS ARTRITIS REUMATOIDEAS SEROPOSITIVAS;CRONICO
M07.3;OTRAS ARTROPATIAS PSORIASICAS (L40.5);CRONICO
L21.8;OTRAS DERMATITIS SEBORREICAS;CRONICO
Q81.8;OTRAS EPIDERMOLISIS BULLOSAS;CRONICO
Q85.8;OTRAS FACOMATOSIS, NO CLASIFICADAS EN OTRA PARTE;CRONICO
Q80.8;OTRAS ICTIOSIS CONGENITAS;CRONICO
Q82.8;OTRAS MALFORMACIONES CONGENITAS DE LA PIEL, ESPECIFICADAS;CRONICO
Q89.8;OTRAS MALFORMACIONES CONGENITAS, ESPECIFICADAS;CRONICO
Q77.8;OTRAS OSTEOCONDRODISPLASIAS CON DEFECTOS DEL CRECIMIENTO DE LOS HUESOS LARGOS Y DE LA COLUMNA VERTEBRAL.;CRONICO
Q78.8;OTRAS OSTEOCONDRODISTROPLASIAS ESPECIFICADAS;CRONICO
L71.8;OTRAS ROSACEAS;CRONICO
Q93.8;OTRAS SUPRESIONES DE LOS AUTOSOMAS;CRONICO
Q93.5;OTRAS SUPRESIONES DE PARTE DE UN CROMOSOMA;CRONICO
Q92.8;OTRAS TRISOMIA Y TRISOMIA PARCIALES DE LOS AUTOSOMAS, ESPECIFICADAS;CRONICO
H55.8;OTROS MOVIMIENTOS OCULARES IRREGULARES;CRONICO
Q86.8;OTROS SINDROMES DE MALFORMACIONES CONGENITA DEBIDO A CAUSAS EXOGENAS CONOCIDAS;CRONICO
Q87.5;OTROS SINDROMES DE MALFORMACIONES CONGENITAS CON OTROS CAMBIOS ESQUELETICOS;CRONICO
Q87.8;OTROS SINDROMES DE MALFORMACIONES CONGENITAS ESPECIFICADAS, NO CLASIFICADOS EN OTRA PARTE;CRONICO
I15.8;OTROS TIPOS DE HIPERTENSION SECUNDARIA;CRONICO
H49.1;PARALISIS DEL IV PAR CRANEAL- NERVIO TROCLEAR O PATETICO;CRONICO
H49.0;PARALISIS DEL NERVIO MOTOR OCULAR COMUN [III PAR];CRONICO
H49.2;PARALISIS DEL NERVIO MOTOR OCULAR EXTERNO [VI PAR];CRONICO
I46.0;PARO CARDIACO CON RESUCITACION EXITOSA;CRONICO
I31.1;PERICARDITIS CONSTRICTIVA CRONICA;CRONICO
M30.0;POLIARTERITIS NUDOSA;CRONICO
G63.1;POLINUEROPATIA EN ENFERMEDAD NEOPLASICA CONJUNTIVAL;CRONICO
I34.1;PROLAPSO DE LA VALVULA MITRAL;CRONICO
T86.0;RECHAZO DE TRASPLANTE DE MEDULA OSEA;CRONICO
Q95.2;REORDENAMIENTO AUTOSOMICO EQUILIBRADO EN INDIVIDUO ANORMAL;CRONICO
Q95.3;REORDENAMIENTO AUTOSOMICO/SEXUAL EQUILIBRADO EN INDIVIDUO ANORMAL;CRONICO
Q95.9;REORDENAMIENTO EQUILIBRADO Y MARCADOR ESTRUCTURAL, SIN OTRA ESPECIFICACION;CRONICO
H44.6;RETENCION INTRAOCULAR DE CUERPO EXTRAÑO MAGNETICO (ANTIGUO);CRONICO
H44.7;RETENCION INTRAOCULAR DE CUERPO EXTRAÑO NO MAGNETICO (ANTIGUO);CRONICO
B94.9;SECUELAS DE ENFERMEDADES INFECCIOSAS Y PARASITARIAS NO ESPECIFICADAS;CRONICO
G44.0;SINDROME DE CEFALEA EN RACIMOS;CRONICO
Q77.2;SINDROME DE COSTILLA CORTA;CRONICO
Q91.3;SINDROME DE EDWARDS (TRISOMIA 18) NO ESPECIFICADO;CRONICO
Q79.6;SINDROME DE EHLERS-DANLOS;CRONICO
M05.0;SINDROME DE FELTY;CRONICO
Q86.1;SINDROME DE HIDANTOINA FETAL;CRONICO
Q98.0;SINDROME DE KLINEFELTER, CARIOTIPO 47,XXY;CRONICO
Q91.7;SINDROME DE PATAU (TRISOMIA 13) NO ESPECIFICADO;CRONICO
Q60.6;SINDROME DE POTTER;CRONICO
I45.6;SINDROME DE PREEXCITACION;CRONICO
H04.13;SINDROME DE SEQUEDAD OCULAR [SINDROME DE OJO SECO](GLANDULA LAGRIMAL);CRONICO
M31.4;SINDROME DEL CAYADO DE LA AORTA (TAKAYASU);CRONICO
Q90.9;SINDROME DOWN, NO ESPECIFICADO;CRONICO
Q86.0;SINDROME FETAL (DISMORFICO) DEBIDO AL ALCOHOL;CRONICO
Q87.1;SINDROMES DE MALFORMACIONES CONGENITAS ASOCIADAS PRINCIPALMENTE CON ESTATURA BAJA;CRONICO
Q87.3;SINDROMES DE MALFORMACIONES CONGENITAS CON EXCESO DE CRECIMIENTO PRECOZ;CRONICO
Q87.2;SINDROMES DE MALFORMACIONES CONGENITAS QUE AFECTAN PRINCIPALMENTE LOS MIEMBROS;CRONICO
Q93.9;SUPRESION DE LOS AUTOSOMAS, NO ESPECIFICADA;CRONICO
Q93.3;SUPRESION DEL BRAZO CORTO DEL CROMOSOMA 4;CRONICO
Q93.4;SUPRESION DEL BRAZO CORTO DEL CROMOSOMA 5;CRONICO
Q93.7;SUPRESIONES CON OTROS REORDENAMIENTOS COMPLEJOS;CRONICO
Q93.6;SUPRESIONES VISIBLES SOLO EN LA PROMETAFASE;CRONICO
I47.1;TAQUICARDIA SUPRAVENTRICULAR;CRONICO
I47.2;TAQUICARDIA VENTRICULAR;CRONICO
G25.6;TICS INDUCIDOS POR DROGAS Y OTROS TICS DE ORIGEN ORGANICO;CRONICO
Q95.0;TRANSLOCACION EQUILIBRADA E INSERCION EN INDIVIDUO NORMAL;CRONICO
F95.2;TRASTORNO POR TICS MOTORES Y VOCALES MULTIPLES COMBINADOS [SINDROME DE TOURETTE];CRONICO
I08.0;TRASTORNOS DE LAS VALVULAS MITRAL Y AORTICA (CARDIOESCLEROSIS);CRONICO
H47.5;TRASTORNOS DE OTRAS VIAS OPTICAS;CRONICO
E72.0;TRASTORNOS DEL TRANSPORTE DE LOS AMINOACIDOS;CRONICO
S04.9;TRAUMATISMO DE NERVIOS CRANEALES, NO ESPECIFICADO;CRONICO
S04.5;TRAUMATISMO DEL NERVIO FACIAL [VII PAR].;CRONICO
S04.1;TRAUMATISMO DEL NERVIO MOTOR OCULAR COMUN [III PAR];CRONICO
S04.4;TRAUMATISMO DEL NERVIO MOTOR OCULAR EXTERNO [VI PAR]. [ABDUCENS];CRONICO
S04.0;TRAUMATISMO DEL NERVIO OPTICO [II PAR] Y DE LAS VIAS OPTICAS;CRONICO
S04.2;TRAUMATISMO DEL NERVIO PATETICO [IV PAR]. [TROCLEAR];CRONICO
S04.3;TRAUMATISMO DEL NERVIO TRIGEMINO [V PAR].;CRONICO
Q92.7;TRIPLOIDIA Y POLIPLOIDIA;CRONICO
Q91.5;TRISOMIA 13, MOSAICO (POR FALTA DE DISYUNCION MITOTICA);CRONICO
Q91.4;TRISOMIA 13, POR FALTA DE DISYUNCION MEIOTICA (SINDROME DE PATAU);CRONICO
Q91.6;TRISOMIA 13, POR TRASLOCACION;CRONICO
Q91.1;TRISOMIA 18, MOSAICO (POR FALTA DE DISYUNCION MITOTICA);CRONICO
Q91.0;TRISOMIA 18, POR FALTA DE DISYUNCION MEIOTICA (SINDROME DE EDWARDS );CRONICO
Q91.2;TRISOMIA 18, POR TRANSLOCACION;CRONICO
Q90.2;TRISOMIA 21 POR TRANSLOCACION;CRONICO
Q90.1;TRISOMIA 21, MOSAICO (POR FALTA DE DISYUNCION MITOTICA);CRONICO
Q90.0;TRISOMIA 21, POR FALTA DE DISYUNCION MEIOTICA;CRONICO
Q92.1;TRISOMIA DE UN CROMOSOMA COMPLETO, MOSAICO ( POR FALTA DE DISYUNCION MITOTICA);CRONICO
Q92.0;TRISOMIA DE UN CROMOSOMA COMPLETO, POR FALTA DE DISYUNCION MEIOTICA;CRONICO
Q92.2;TRISOMIA PARCIAL MAYOR;CRONICO
Q92.3;TRISOMIA PARCIAL MENOR;CRONICO
Q92.9;TRISOMIA Y TRISOMIA PARCIAL DE LOS AUTOSOMAS, SIN OTRA ESPECIFICACION;CRONICO
A18.5;TUBERCULOSIS DEL OJO;CRONICO
C83.7;TUMOR DE BURKITT;CRONICO
C64.1;TUMOR DE WILMS;CRONICO
C69.0;TUMOR MALIGNO DE LA CONJUNTIVA;CRONICO
C69.3;TUMOR MALIGNO DE LA COROIDES;CRONICO
C69.5;TUMOR MALIGNO DE LA GLANDULA Y CONDUCTO LAGRIMAL;CRONICO
C69.6;TUMOR MALIGNO DE LA ORBITA;CRONICO
M05.2;VASCULITIS REUMATOIDE;CRONICO
I83.9;VENAS VARICOSAS DE LOS MIEMBROS INFERIORES SIN ULCERA NI INFLAMACION;CRONICO
Q82.1;XERODERMA PIGMENTOSO;CRONICO
D16.4;TUMOR BENIGNO DE LOS HUESOS DE LA ORBITA;CUIDA
D18.0;HEMANGIOMA, DE CUALQUIER SITIO;CUIDA
D18.1;LINFANGIOMA, DE CUALQUIER SITIO;CUIDA
D22.3;NEVO MELANOCITICO DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA CARA;CUIDA
D31.0;TUMOR BENIGNO DE LA CONJUNTIVA;CUIDA
D31.3;TUMOR BENIGNO DE LA COROIDES;CUIDA
D31.4;TUMOR BENIGNO DEL CUERPO CILIAR;CUIDA
D31.5;TUMOR BENIGNO DE LAS GLANDULAS Y DE LOS CONDUCTOS LAGRIMALES;CUIDA
D31.6;TUMOR BENIGNO DE LA ORBITA, PARTE NO ESPECIFICADA;CUIDA
D31.9;TUMOR BENIGNO DEL OJO, PARTE NO ESPECIFICADA;CUIDA
