Año;Mes;Mes Corto;Mes Numero;Codigo IPRESS;Clinica Descripcion;Region;Provincia;Distrito;Competencia;Cant Atenciones Medicas;Cirugia Mayor Efectiva;Cirugia Menor Efectiva
2026;MARZO;MAR;3;20976;Visual Center Clinica de Ojos;LIMA;LIMA;SAN MIGUEL;LIMA CENTRO;1940;72;103
2026;MARZO;MAR;3;11741;Clinica Nortvision;LIMA;LIMA;PUEBLO LIBRE;LIMA CENTRO;411;36;25
2026;MARZO;MAR;3;10669;Clinica Peruana para la Vision;LIMA;LIMA;JESUS MARIA;LIMA CENTRO;;;
2026;MARZO;MAR;3;17703;OPRECE;LIMA;LIMA;MAGDALENA;LIMA CENTRO;;;
2026;MARZO;MAR;3;29299;Mas Vision;LIMA;LIMA;LINCE;LIMA CENTRO;224;5;205
2026;MARZO;MAR;3;11358;Confia Instituto Oftalmologico;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;526;26;39
2026;MARZO;MAR;3;9933;Clinica Oftalmologica Macula D&T ;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;2186;0;111
2026;MARZO;MAR;3;15182;Clinica Optima Vision;LIMA;LIMA;MIRAFLORES;LIMA CENTRO;760;0;18
2026;MARZO;MAR;3;13900;OftalmoSalud - Surco;LIMA;LIMA;SURCO;LIMA CENTRO;583;0;9
2026;MARZO;MAR;3;23741;Clinica Oftalmo Vissum;LIMA;LIMA;SURCO;LIMA CENTRO;359;0;51
2026;MARZO;MAR;3;15461;Vista Salud Centro Oftalmologico;LIMA;LIMA;SURCO;LIMA CENTRO;566;0;71
2026;MARZO;MAR;3;17676;OftalmoSalud - SJM;LIMA;LIMA;SAN JUAN DE MIRAFLORES;LIMA CENTRO;3769;0;71
2026;MARZO;MAR;3;11167;Oftalmomedic;LIMA;LIMA;CERCADO;LIMA CENTRO;785;58;27
2026;MARZO;MAR;3;12020;Clinica Oftalmologica Ñahui Salud - Surquillo;LIMA;LIMA;SURQUILLO;LIMA CENTRO;10958;0;327
2026;MARZO;MAR;3;9483;Oculaser SAC;LIMA;LIMA;LIMA;LIMA CENTRO;774;0;178
2026;MARZO;MAR;3;15927;Clinica de Ojos D'opeluse;LIMA;LIMA;LINCE;LIMA CENTRO;6247;104;47
2026;MARZO;MAR;3;23852;Oftalmosalud - Los Olivos;LIMA;LIMA;LOS OLIVOS;LIMA NORTE;3158;0;34
2026;MARZO;MAR;3;10739;Clinica Oftalmologica Wong;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;2410;121;231
2026;MARZO;MAR;3;17099;Oftalmologos Contreras C.SCRL;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;280;17;5
2026;MARZO;MAR;3;30606;Visana Clinica Especializada Oftalmologica;LIMA;LIMA;COMAS;LIMA NORTE;1250;75;0
2026;MARZO;MAR;3;9505;Oftalmosalud - San Isidro;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;8186;880;195
2026;MARZO;MAR;3;18626;Oftalmica;LIMA;LIMA;SAN BORJA;LIMA CENTRO;3090;217;32
2026;MARZO;MAR;3;11372;Futuro Vision ;LIMA;LIMA;SAN BORJA;LIMA CENTRO;1127;0;104
2026;MARZO;MAR;3;15716;Clinica Vista;LIMA;LIMA;JESUS MARIA;LIMA CENTRO;730;;
2026;MARZO;MAR;3;20230;Clinica de ojos Global Laser;LIMA;LIMA;PUEBLO LIBRE;LIMA CENTRO;1538;0;126
2026;MARZO;MAR;3;;Clinica OftalmoMédic - Lima Norte;LIMA;LIMA;LOS OLIVOS;LIMA NORTE;804;0;22
2026;ABRIL;ABR;4;12429;Clinica Oftalmologica Wong;LIMA;LIMA;LOS OLIVOS;LIMA NORTE;;;
2026;ABRIL;ABR;4;28155;Consultorio Medico Oftalmologico Vista;LIMA;LIMA;COMAS;LIMA NORTE;;;
2026;ABRIL;ABR;4;34209;Clinica Oftalmologica Ñahui Salud - Comas;LIMA;LIMA;COMAS;LIMA NORTE;;;
2026;ABRIL;ABR;4;25804;Opero;LIMA;LIMA;CERCADO;LIMA CENTRO;;;
2026;ABRIL;ABR;4;22016;Clinica la Luz Oftalmologica;LIMA;LIMA;CERCADO;LIMA CENTRO;1878;18;13
2026;ABRIL;ABR;4;20976;Visual Center Clinica de Ojos;LIMA;LIMA;SAN MIGUEL;LIMA CENTRO;1506;37;91
2026;ABRIL;ABR;4;11741;Clinica Nortvision;LIMA;LIMA;PUEBLO LIBRE;LIMA CENTRO;401;51;16
2026;ABRIL;ABR;4;10669;Clinica Peruana para la Vision;LIMA;LIMA;JESUS MARIA;LIMA CENTRO;;;
2026;ABRIL;ABR;4;17703;OPRECE;LIMA;LIMA;MAGDALENA;LIMA CENTRO;;;
2026;ABRIL;ABR;4;29299;Mas Vision;LIMA;LIMA;LINCE;LIMA CENTRO;207;2;177
2026;ABRIL;ABR;4;11358;Confia Instituto Oftalmologico;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;404;;
2026;ABRIL;ABR;4;9933;Clinica Oftalmologica Macula D&T ;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;1789;0;61
2026;ABRIL;ABR;4;15182;Clinica Optima Vision;LIMA;LIMA;MIRAFLORES;LIMA CENTRO;;;
2026;ABRIL;ABR;4;13900;OftalmoSalud - Surco;LIMA;LIMA;SURCO;LIMA CENTRO;;;
2026;ABRIL;ABR;4;23741;Clinica Oftalmo Vissum;LIMA;LIMA;SURCO;LIMA CENTRO;309;0;19
2026;ABRIL;ABR;4;15461;Vista Salud Centro Oftalmologico;LIMA;LIMA;SURCO;LIMA CENTRO;538;0;16
